Symbol ,Name 
BAJAJHCARE,Bajaj Healthcare Limited
BAJAJINDEF,Indef Manufacturing Limited
BAJEL,Bajel Projects Limited
BALAJEE,Shree Tirupati Balajee Agro Trading Company Limited
BALAJITELE,Balaji Telefilms Limited
BALAMINES,Balaji Amines Limited
BALAXI,BALAXI PHARMACEUTICALS LIMITED
BALKRISHNA,Balkrishna Paper Mills Limited
BALMLAWRIE,Balmer Lawrie & Company Limited
BALPHARMA,Bal Pharma Limited
BALUFORGE,Balu Forge Industries Limited
BANARBEADS,Banaras Beads Limited
BANARISUG,Bannari Amman Sugars Limited
BANCOINDIA,Banco Products (I) Limited
BANG,Bang Overseas Limited
BANKA,Banka BioLoo Limited
BANSALWIRE,Bansal Wire Industries Limited
BANSWRAS,Banswara Syntex Limited
BASML,Bannari Amman Spinning Mills Limited
BBTCL,B&B Triplewall Containers Limited
BCG,Brightcom Group Limited
BCLIND,Bcl Industries Limited
BCONCEPTS,Brand Concepts Limited
BCPL,BCPL Railway Infrastructure Limited
BEARDSELL,Beardsell Limited
BECTORFOOD,Mrs. Bectors Food Specialities Limited
BEDMUTHA,Bedmutha Industries Limited
BELLACASA,Bella Casa Fashion & Retail Limited
BELRISE,Belrise Industries Limited
BEPL,Bhansali Engineering Polymers Limited
BETA,Beta Drugs Limited
BFINVEST,BF Investment Limited
BFUTILITIE,BF Utilities Limited
BGRENERGY,BGR Energy Systems Limited
BHAGCHEM,Bhagiradha Chemicals & Industries Limited
BHAGERIA,Bhageria Industries Limited
BHAGYANGR,Bhagyanagar India Limited
BHANDARI,Bhandari Hosiery Exports Limited
BHARATCOAL,Bharat Coking Coal Limited
BHARATGEAR,Bharat Gears Limited
BHARATRAS,Bharat Rasayan Limited
BHARATSE,Bharat Seats Limited
BHARATWIRE,Bharat Wire Ropes Limited
BIGBLOC,Bigbloc Construction Limited
BIL,Bhartiya International Limited
BIOFILCHEM,Biofil Chemicals & Pharmaceuticals Limited
BIRLACABLE,Birla Cable Limited
BIRLAMONEY,Aditya Birla Money Limited
BIRLANU,BirlaNu Limited
BLACKBUCK,BLACKBUCK LIMITED
BLAL,BEML Land Assets Limited
BLBLIMITED,BLB Limited
BLISSGVS,Bliss GVS Pharma Limited
BLKASHYAP,B. L. Kashyap and Sons Limited
BLSE,BLS E-Services Limited
BLUECHIP,Blue Chip India Limited
BLUECOAST,Blue Coast Hotels Limited
BLUESTONE,BlueStone Jewellery and Lifestyle Limited
BLUSPRING,Bluspring Enterprises Limited
BMWVENTLTD,BMW Ventures Limited
BODALCHEM,Bodal Chemicals Limited
BOHRAIND,Bohra Industries Limited
BOMDYEING,Bombay Dyeing & Mfg Company Limited
BONLON,Bonlon Industries Limited
BORANA,Borana Weaves Limited
BORORENEW,BOROSIL RENEWABLES LIMITED
BOROSCI,Borosil Scientific Limited
BOSCH-HCIL,BOSCH HOME COMFORT INDIA LIMITED
BPL,BPL Limited
BRIGHOTEL,Brigade Hotel Ventures Limited
BRNL,Bharat Road Network Limited
BROOKS,Brooks Laboratories Limited
BSHSL,Bombay Super Hybrid Seeds Limited
BSL,BSL Limited
BTML,Bodhi Tree Multimedia Limited
BUILDPRO,Shankara Buildpro Limited
BVCL,Barak Valley Cements Limited
BYKE,The Byke Hospitality Ltd
CALSOFT,California Software Company Limited
CAMLINFINE,Camlin Fine Sciences Limited
CANHLIFE,Canara HSBC Life Insurance Company Limited
CAPACITE,Capacit'e Infraprojects Limited
CAPILLARY,Capillary Technologies India Limited
CAPITALSFB,Capital Small Finance Bank Limited
CAPTRUST,Capital Trust Limited
CARRARO,Carraro India Limited
CARTRADE,Cartrade Tech Limited
CARYSIL,CARYSIL LIMITED
